년월일,강남자원회수시설,노원자원회수시설,마포자원회수시설,서울물재생시설공단(구 서남물재생센터),양천자원회수시설,은평환경플랜트
2019-01-01,982,6563,7706,531,2866,1009
2019-01-02,1007,6523,7346,480,2978,1064
2019-01-03,968,6664,7383,427,3070,985
2019-01-04,1035,6600,7297,316,3097,946
2019-01-05,1130,6282,7212,154,3052,937
2019-01-06,1048,6635,7674,123,3063,896
2019-01-07,1040,6641,7578,147,3135,979
2019-01-08,1380,6488,7301,141,3100,910
2019-01-09,1490,6853,7618,303,3021,982
2019-01-10,2362,6704,7914,217,3091,995
2019-01-11,3342,6425,6784,261,3239,990
2019-01-12,3486,6202,5974,925,3225,1078
2019-01-13,3317,5917,5895,560,2161,1077
2019-01-14,3259,5868,5698,300,1901,1078
2019-01-15,2553,5761,6234,347,2109,1068
2019-01-16,2046,5867,7370,387,2936,856
2019-01-17,2300,5953,7731,61,2921,938
2019-01-18,2254,5923,6654,51,2987,887
2019-01-19,2485,6008,6057,87,3019,1138
2019-01-20,2282,5738,6588,287,2863,1133
2019-01-21,1504,5919,6832,393,2831,958
2019-01-22,2540,5759,6102,331,2827,1040
2019-01-23,2893,5637,6249,218,2944,1140
2019-01-24,5428,5572,6701,0,2930,1029
2019-01-25,6350,5575,7033,1,2806,989
2019-01-26,5131,5468,7304,38,2630,862
2019-01-27,4919,5558,6934,49,2834,899
2019-01-28,5072,5555,6518,25,2892,1098
2019-01-29,1355,5412,6757,52,2914,1008
2019-01-30,1939,5886,6515,81,2968,1078
2019-01-31,1768,5726,7515,73,2893,1060
2019-02-01,1199,5850,7463,213,2981,807
2019-02-02,1435,5798,6707,210,3032,967
2019-02-03,1888,5694,6610,131,3140,1242
2019-02-04,865,5585,6985,127,3051,1225
2019-02-05,1028,5801,6277,159,3009,1149
2019-02-06,1266,5845,5301,264,3104,1263
2019-02-07,652,5890,6394,365,3126,1251
2019-02-08,620,6695,6508,421,3010,851
2019-02-09,849,6784,6616,502,2933,851
2019-02-10,1248,6876,6815,448,2906,869
2019-02-11,446,6839,6782,280,2970,889
2019-02-12,1935,6887,7051,340,3007,955
2019-02-13,1474,6899,6910,322,3021,946
2019-02-14,1355,6902,6327,188,3061,907
2019-02-15,1821,6793,6721,241,3153,965
2019-02-16,1721,6682,8185,283,3021,978
2019-02-17,1993,6675,7959,173,3067,984
2019-02-18,1680,6608,7884,270,3241,1028
2019-02-19,790,6791,7301,253,3249,1152
2019-02-20,1068,6570,5885,226,2368,1214
2019-02-21,817,6263,6496,299,2106,1230
2019-02-22,727,6030,5931,167,2084,1329
2019-02-23,887,5742,5310,227,2165,1343
2019-02-24,959,6068,3506,597,3152,1348
2019-02-25,1107,6126,3382,720,3243,1378
2019-02-26,1978,6154,3651,742,3228,1199
2019-02-27,2667,6143,5438,215,3194,1362
2019-02-28,2681,5918,5944,0,2213,1311
2019-03-01,2648,5735,5990,0,1933,1365
2019-03-02,2389,5454,5671,0,1966,1372
2019-03-03,2474,3892,5551,0,2009,1416
2019-03-04,3067,5639,5702,0,2044,1422
2019-03-05,2912,5513,5424,0,2030,1395
2019-03-06,2624,5457,5408,0,1995,1381
2019-03-07,2689,5490,5596,0,2208,1264
2019-03-08,2524,5705,5769,0,3124,1241
2019-03-09,1620,5946,5732,0,3121,1177
2019-03-10,3183,5858,5470,0,2874,1344
2019-03-11,3258,5758,5948,0,3090,1396
2019-03-12,3066,5690,6068,0,3103,1292
2019-03-13,3702,5797,5879,30,3007,1141
2019-03-14,4230,5640,5959,112,3136,1183
2019-03-15,4464,5749,5926,149,3179,1273
2019-03-16,5498,5820,5713,127,3180,558
2019-03-17,6576,5716,4986,107,3138,0
2019-03-18,6599,5686,4921,171,3085,0
2019-03-19,7899,5624,5644,214,1777,0
2019-03-20,5556,5453,5884,211,1569,0
2019-03-21,398,5472,5725,225,1367,0
2019-03-22,157,5955,6129,258,1280,0
2019-03-23,353,5993,6272,326,1321,0
2019-03-24,488,5787,5885,299,1320,0
2019-03-25,437,5924,5882,309,1430,0
2019-03-26,694,5662,5549,578,1449,28
2019-03-27,1171,5630,5856,303,1474,95
2019-03-28,1090,5391,5562,326,447,1012
2019-03-29,1851,5462,5639,155,40,1400
2019-03-30,1640,5647,5813,310,439,1367
2019-03-31,2017,5451,5897,442,1570,1348
2019-04-01,2011,5568,6354,812,1657,1269
2019-04-02,638,5408,3996,652,1716,1266
2019-04-03,731,5516,3353,586,1737,1300
2019-04-04,877,5440,3360,63,1747,1265
2019-04-05,1222,5349,3685,124,1747,1167
2019-04-06,1625,5371,5871,168,1730,1187
2019-04-07,2101,2670,5661,309,1738,1315
2019-04-08,1323,1990,5288,159,2571,1347
2019-04-09,1927,2059,5525,153,4055,1294
2019-04-10,1588,1967,6451,270,4185,1211
2019-04-11,1878,1960,5535,94,4084,1164
2019-04-12,2018,1903,6466,323,4064,1074
2019-04-13,2020,233,5562,608,4070,1041
2019-04-14,1941,0,5676,318,4106,1021
2019-04-15,1751,0,6008,619,3978,1072
2019-04-16,1845,38,6427,521,3957,1091
2019-04-17,2248,139,6010,809,3536,1094
2019-04-18,2426,0,4140,25,3309,1152
2019-04-19,2509,745,3176,29,3362,1200
2019-04-20,2655,3884,1152,317,3300,1191
2019-04-21,331,3992,1152,703,3407,1260
2019-04-22,0,4003,1152,774,3254,1292
2019-04-23,0,4311,1725,561,3127,1237
2019-04-24,0,4442,1511,375,3168,1336
2019-04-25,0,5512,401,813,3267,1146
2019-04-26,0,5546,0,605,3513,1092
2019-04-27,0,4418,0,760,3438,1111
2019-04-28,0,4344,0,729,3148,1080
2019-04-29,0,4344,520,608,3363,1073
2019-04-30,0,4256,2555,401,3265,1152
2019-05-01,0,4446,2683,488,3193,1112
2019-05-02,0,4351,2466,502,2753,1164
2019-05-03,0,4559,2340,834,2048,821
2019-05-04,0,4772,3533,653,2023,1286
2019-05-05,0,4655,4660,794,1946,1332
2019-05-06,0,4760,4650,750,2101,1243
2019-05-07,0,4911,4823,939,2063,1089
2019-05-08,0,4940,5070,740,2062,1159
2019-05-09,0,4883,5846,414,2046,1227
2019-05-10,0,5522,5934,601,2061,1245
2019-05-11,0,5288,5873,668,1964,1317
2019-05-12,0,5243,5851,770,1828,1315
2019-05-13,0,5497,5948,466,1932,1298
2019-05-14,0,5463,5992,831,1992,1309
2019-05-15,0,5428,6059,780,2015,1293
2019-05-16,0,5061,5997,721,1969,1306
2019-05-17,6,4878,5512,611,2012,1521
2019-05-18,0,5910,5558,564,2032,1596
2019-05-19,571,6025,5883,780,2048,1587
2019-05-20,294,6189,5385,878,2066,1419
